000000000000000000000000000000,00000000000000000000000000000000,1
000000000000000000000000000010,00000000000000000000000000000000,1
000000000000000000000000000000,00000000000000000000000000000000,1
000000000000000000000000000000,00000110000000100000011100000011,1
000000000000000000000000000000,00000110000000100000011100000011,1
000000000000000000000000000000,00111100000111000001000000000001,1
000000000000000000000000000000,00111100000111000001000000000001,1
000000000000000000000000000000,00111100000111000001000000000001,0
000100000000000000000000000000,00111100000111000001000000000001,0
000000000000000000000000000000,00111100000111000001000000000001,0
000000000000000000000000000001,00111100000111000001000000000001,0
000000000000000000000000000001,00100111100111001000111101001100,0
000000000000000000000000000010,00100111100111001000111101001100,0
000000000000000000000000000010,00111100000111000001000000000001,0
000000000000000000000000000011,00111100000111000001000000000001,0
000000000000000000000000000011,00100111100111001000111101001100,0
000000000000000000000000000011,00001100000010000000110100001001,1
000000000000000000000000000010,00001100000010000000110100001001,1
000000000000000000000000000010,00001110000010100000111100001011,1
000000000000000000000000000010,00001110000010100000111100001011,1
000000000000000000000000000010,00111100000111000001000000000001,1
000000000000000000000000000010,00111100000001000001000000000000,1
000000000000000000000000000011,00100100100001000000111101100000,0
000000000000000000000000000100,00100100100001000000111101100000,0
000000000000000000000000000100,00111100000001000001000000000000,0
000000000000000000000000000101,00111100000001000001000000000000,0
000000000000000000000000000101,00100100100001000000111101100000,0
000000000000000000000000000101,00000000000000000000000000000000,1
000000000000000000000000000100,00000000000000000000000000000000,1
000000000000000000000000000100,00000000000000000000000000000000,1
000000000000000000000000000100,00111100000001000001000000000000,1
000000000000000000000000000100,00111100000001010001000000000000,1
000000000000000000000000000101,00100100101001010000111101100000,0
000000000000000000000000000110,00100100101001010000111101100000,0
000000000000000000000000000110,00111100000001010001000000000000,0
000000000000000000000000000111,00111100000001010001000000000000,0
000000000000000000000000000111,00100100101001010000111101100000,0
000000000000000000000000000111,00000000000000000000000000000000,1
000000000000000000000000000110,00000000000000000000000000000000,1
000000000000000000000000000110,00000000000000000000000000000000,1
000000000000000000000000000110,00111100000001010001000000000000,1
000000000000000000000000000110,00000000000000000000000000000000,1
000000000000000000000000000111,00000000000000000000000000000000,0
000000000000000000000000001000,00000000000000000000000000000000,0
000000000000000000000000001001,00000000000000000000000000000000,0
000000000000000000000000001001,00000000000000000000000000000000,1
000000000000000000000000001000,00000000000000000000000000000000,1
000000000000000000000000001000,00000000000000000000000000000000,1
000000000000000000000000001000,00010000000000000000000000001001,1
000000000000000000000000001001,00000000000000000000000000000000,0
000000000000000000000000001010,00000000000000000000000000000000,0
000000000000000000000000001010,00010000000000000000000000001001,0
000000000000000000000000000000,00010000000000000000000000001001,0
000100000000000000000000001001,00010000000000000000000000001001,0
000000000000000000000000001001,00000000000000000000000000000000,0
000000000000000000000000000000,00000000000000000000000000000000,0
